logFC	AveExpr	t	P.Value	adj.P.Val	B	GB_ACC	ID	UG_CLUSTER	DESCRIPTION	GENE_SYMBOL	display_label	deg_class
1.6663102212933	1.6663102212933	9.74951371857364	4.3745565492893e-08	0.000368483144333284	7.90290603457747	AA679414	6722	Hs.181368	PRP8 pre-mRNA processing factor 8 homolog (S. cerevisiae)	PRPF8	PRPF8	Up
1.64236713645006	1.64236713645006	9.58970728789391	5.48093327879345e-08	0.000368483144333284	7.73407305307657	AA454651	4341	Hs.654688	Megakaryoblastic leukemia (translocation) 1	MKL1	MKL1	Up
1.48981256531969	1.48981256531969	8.98741056509097	1.31458362038902e-07	0.000559346231409602	7.06668473783589	AA919063	7683	Hs.591054	BH3 interacting domain death agonist	BID	BID	Up
-1.39464042534382	-1.39464042534382	-8.84889878351756	1.66397807945739e-07	0.000559346231409602	6.88065038739813	AA448486	4026	Hs.592074	Hypothetical protein LOC348180	LOC348180	LOC348180	Down
1.19784993477139	1.19784993477139	8.07544358570013	5.35603431686873e-07	0.00144034474849234	5.9565326955021	N23047	9676	Hs.379018	Transcription factor Dp-2 (E2F dimerization partner 2)	TFDP2	TFDP2	Up
1.14442137362512	1.14442137362512	7.5976037591933	1.16508615446015e-06	0.00249917673596932	5.32357885601864	W37989	13808	Hs.435615	Calcium-sensing receptor (hypocalciuric hypercalcemia 1, severe neonatal hyperparathyroidism)	CASR	CASR	Up
-1.37961993937354	-1.37961993937354	-7.61881709515051	1.30107371350478e-06	0.00249917673596932	5.22569933842402	R60020	12393	Hs.592074	Hypothetical protein LOC348180	LOC348180	LOC348180	Down
1.27514217905639	1.27514217905639	7.16296978208628	3.52609152024147e-06	0.00592647832264586	4.324925225395	AA490338	5600	Hs.177926	Exonuclease NEF-sp	LOC81691	LOC81691	Up
-0.674830444918691	-0.674830444918691	-6.73927930976646	5.07468826099496e-06	0.00758158426192646	4.0926063374319	R98008	12924	Hs.146551	BMP2 inducible kinase	BMP2K	BMP2K	Down
-0.901613082325588	-0.901613082325588	-6.65877557253363	6.01258444581728e-06	0.00808452104584592	3.94815640488815	AA458932	4646	Hs.91579	IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast)	IMP4	IMP4	Down
1.00450251164435	1.00450251164435	6.34939479165129	1.02337757588253e-05	0.0125093953502877	3.49242486224273	AA482079	5257	Hs.647086	Replication initiator 1	REPIN1	REPIN1	Up
-0.591137172613627	-0.591137172613626	-6.27974441752969	1.16254293261431e-05	0.0130262935599433	3.38248811846073	AA441935	3780	Hs.643451	Achaete-scute complex homolog 1 (Drosophila)	ASCL1	ASCL1	Down
-1.3970363890021	-1.3970363890021	-6.2017680496874	1.50586800847517e-05	0.0147482000080063	3.1611597236472	AA676649	6611	Data not found		NA	AA676649	Down
1.26399484319156	1.26399484319156	6.187101074847	1.5355853050133e-05	0.0147482000080063	3.14412132127019	T99653	13607	Hs.567356	Wingless-type MMTV integration site family member 2	WNT2	WNT2	Up
-0.913684592387327	-0.913684592387327	-5.88950818941209	2.63990051227128e-05	0.0224646344809344	2.67329376686703	R77144	12632	Hs.488835	Transmembrane protein induced by tumor necrosis factor alpha	TMPIT	TMPIT	Down
-1.25102055686746	-1.25102055686746	-5.86255371578742	2.80690063945479e-05	0.0224646344809344	2.620180637612	AA495724	5670	Hs.520814	Tensin 3	TNS3	TNS3	Down
0.894356944343947	0.894356944343947	5.80153477903522	2.84024086104332e-05	0.0224646344809344	2.60562664187403	AA035620	1437	Hs.125898	GNAS complex locus	GNAS	GNAS	Up
-0.566506083575568	-0.566506083575568	-5.65259021905473	3.7750236667994e-05	0.0273142467238017	2.35592204948612	AA706795	7111	Hs.624027	Hypothetical LOC647065	LOC647065	LOC647065	Down
-0.562224402205386	-0.562224402205385	-5.64104639846865	3.85966598060562e-05	0.0273142467238017	2.33641854503384	AA478950	5138	Hs.371987	Nuclear factor of activated T-cells 5, tonicity-responsive	NFAT5	NFAT5	Down
1.42101296786271	1.42101296786271	5.63765570563534	4.27826676260131e-05	0.0286722577596037	2.25092483828954	H05961	8205	Hs.536009	Transcribed locus	NA	H05961	Up
-0.739661276012055	-0.739661276012055	-5.58231126432841	4.47804114942495e-05	0.0286722577596037	2.20754274228907	AA702702	6962	Hs.440544	Chloride intracellular channel 4	CLIC4	CLIC4	Down
-0.648262186640972	-0.648262186640972	-5.52628172815584	4.81615790308269e-05	0.0294354814385681	2.14135955272461	AA666078	1068	Hs.534384	Polyglutamine binding protein 1	PQBP1	PQBP1	Down
-0.545423183077345	-0.545423183077344	-5.40402179554877	6.10866561703321e-05	0.035614358208078	1.93126913027411	AA598625	5905	Hs.654352	Solute carrier family 1 (glutamate/neutral amino acid transporter), member 4	SLC1A4	SLC1A4	Down
1.02790321930097	1.02790321930097	5.6472164799121	6.35686893495368e-05	0.035614358208078	1.85556997223942	AA777435	7384	Data not found		NA	AA777435	Up
-0.542584846634406	-0.542584846634406	-5.45752886479189	6.93259868258029e-05	0.0361607092845057	1.80779772719371	H65659	9041	Hs.464137	Acyl-Coenzyme A oxidase 1, palmitoyl	ACOX1	ACOX1	Down
-0.427824260652734	-0.427824260652734	-5.33497861134178	6.9922537661546e-05	0.0361607092845057	1.81160038812542	AA701535	6923	Hs.513102	Transcribed locus	NA	AA701535	Down
-0.585169975422032	-0.585169975422031	-5.30353220000642	7.43747746485535e-05	0.0370386377749796	1.75685444697323	AA775325	7332	Hs.175473	Adenylate kinase 1	AK1	AK1	Down
-0.570416239560186	-0.570416239560186	-5.25975241763383	8.10657750185426e-05	0.0389289432464044	1.68038793796496	AA702422	6952	Hs.532632	Ataxin 3	ATXN3	ATXN3	Down
-0.612320193379222	-0.612320193379222	-5.21576634614931	8.84156543797539e-05	0.0409943754755231	1.60327200538224	W85900	14244	Hs.659521	Transcribed locus	NA	W85900	Down
0.826863181981393	0.826863181981392	5.19056949101839	9.2932291699795e-05	0.0411242891064279	1.55896784882216	T65770	13219	Hs.116237	Vav 1 oncogene	VAV1	VAV1	Up
-0.594692769088689	-0.594692769088689	-5.18044892716762	9.48128039788238e-05	0.0411242891064279	1.54114632910164	W94063	14400	Hs.433629	Small proline-rich protein 4	SPRR4	SPRR4	Down
-0.759979606588459	-0.759979606588459	-5.18742739017742	0.000100356331872736	0.0420688645505013	1.4962790302001	H00677	8147	Hs.652165	Centrosomal protein 68kDa	CEP68	CEP68	Down
-0.630298280129709	-0.630298280129709	-5.14566141038004	0.000103247994211404	0.0420688645505013	1.46662997389636	AA610016	6135	Hs.112804	Transcribed locus	NA	AA610016	Down
0.94141093761027	0.94141093761027	5.22409122770167	0.000107475213151678	0.0425032857658079	1.42501865601236	AA975388	7750	Hs.37044	Peripherin	PRPH	PRPH	Up
-0.454505596089761	-0.454505596089761	-5.08799429758352	0.000113918727205466	0.0437643201715629	1.37765109347486	AA609600	6080	Hs.655320	Chromosome 8 open reading frame 40	C8orf40	C8orf40	Down
-0.617940090812776	-0.617940090812776	-5.05414115228568	0.000123959368300478	0.0462988240602287	1.30382621100591	AA176491	2303	Data not found		NA	AA176491	Down
-0.482204812726247	-0.482204812726247	-4.99833325451298	0.000136248945522656	0.04951360328372	1.21793155209716	AA022561	1294	Hs.517717	SATB homeobox 1	SATB1	SATB1	Down
-0.487219951864079	-0.487219951864079	-4.93934684577654	0.000153354009017774	0.0542631054013943	1.112246522208	AA035130	1428	Hs.523550	Zinc finger protein 364	ZNF364	ZNF364	Not_significant
0.893830065086508	0.893830065086508	5.10130359191999	0.000168681367371168	0.0581561452736597	1.02064501586356	N81032	11169	Data not found		NA	N81032	Not_significant
-0.571451182334062	-0.571451182334062	-4.79624291626404	0.000207332378794198	0.0690151808767163	0.843611265840416	W93523	14388	Hs.167805	Enhancer of polycomb homolog 1 (Drosophila)	EPC1	EPC1	Not_significant
0.673286432966625	0.673286432966625	4.78244395719491	0.000210443434177106	0.0690151808767163	0.828867920340571	T66180	13225	Hs.724	Thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)	THRA	THRA	Not_significant
-0.470690763577445	-0.470690763577445	-4.7578238823771	0.000221210672556459	0.070378731138763	0.78411469033187	AA777192	7377	Hs.47062	Polymerase (RNA) II (DNA directed) polypeptide I, 14.5kDa	POLR2I	POLR2I	Not_significant
-0.496901517383691	-0.496901517383691	-4.7492982769061	0.000225069570055541	0.070378731138763	0.768599616724884	AA705382	7075	Hs.501296	AT rich interactive domain 3A (BRIGHT-like)	ARID3A	ARID3A	Not_significant
-0.567754157750363	-0.567754157750363	-4.72856638916934	0.000238342595097261	0.0728353303108586	0.718872749955106	W45518	13853	Hs.647069	Solute carrier family 4, anion exchanger, member 2 (erythrocyte membrane protein band 3-like 1)	SLC4A2	SLC4A2	Not_significant
-0.440025666358603	-0.440025666358603	-4.69030544077973	0.000253732645146262	0.0753873149611387	0.660998860335035	AA083577	1737	Hs.660705	Transcribed locus	NA	AA083577	Not_significant
-0.4581614758967	-0.4581614758967	-4.68228847224905	0.000257906923115602	0.0753873149611387	0.646343703704979	R08297	11522	Hs.634969	Transcribed locus	NA	R08297	Not_significant
-0.444745577613774	-0.444745577613774	-4.66985608630172	0.000264519836705109	0.0756350399061246	0.623601939116673	N57594	10478	Hs.8769	Transmembrane protein 47	TMEM47	TMEM47	Not_significant
0.512220309198384	0.512220309198384	4.65580674434231	0.000272202188223244	0.0756350399061246	0.597880362865902	AA875888	7611	Hs.518595	DNA segment on chromosome 4 (unique) 234 expressed sequence	D4S234E	D4S234E	Not_significant
-0.67020380437028	-0.67020380437028	-4.68009006884517	0.000275629700684226	0.0756350399061246	0.593792273607671	AA701550	6924	Hs.654865	Similar to RIKEN cDNA B230118G17 gene	MGC19604	MGC19604	Not_significant
-0.493479844397451	-0.493479844397451	-4.61482715882542	0.000295941613238633	0.0795846186321332	0.52272318742621	AA625664	6274	Hs.604103	Clone DT1P1A11 mRNA, CAG repeat region	NA	AA625664	Not_significant
1.07484949394666	1.07484949394666	4.61734010376778	0.000313883023470645	0.0827543359526724	0.477479543759593	AA453832	4275	Hs.37616	Stimulated by retinoic acid 13 homolog (mouse)	STRA13	STRA13	Not_significant
-0.488912561764157	-0.488912561764157	-4.55879337189939	0.000331875378555027	0.0842582086987364	0.419646527158876	T47788	12996	Hs.655377	Apoptosis-inducing factor, mitochondrion-associated, 2	AIFM2	AIFM2	Not_significant
-0.445783733013368	-0.445783733013368	-4.5584336169508	0.00033211996586591	0.0842582086987364	0.418983610452909	AA496576	1065	Hs.595173	Transcribed locus	NA	AA496576	Not_significant
0.637757270327683	0.637757270327683	4.49997751543947	0.000374414335286351	0.0927879705976099	0.311080618717904	H48281	8771	Hs.646433	Microtubule associated monoxygenase, calponin and LIM domain containing 3	MICAL3	MICAL3	Not_significant
-0.547689728617691	-0.547689728617691	-4.50350219386476	0.000379543238351074	0.0927879705976099	0.301501539688272	AA071503	1720	Hs.356690	Hypothetical protein LOC728928	LOC728928	LOC728928	Not_significant
0.697546210775196	0.697546210775196	4.47162240665977	0.000396873714975518	0.0952922137778717	0.258609830565477	AA634479	6482	Hs.591823	Hypothetical protein LOC340239	LOC340239	LOC340239	Not_significant
-0.53410819981356	-0.53410819981356	-4.44313935044988	0.000428704313375846	0.0995054867946867	0.191560415886515	AA873577	7606	Hs.409140	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (oligomycin sensitivity conferring protein)	ATP5O	ATP5O	Not_significant
-0.540697253916216	-0.540697253916216	-4.44402574151979	0.000429356558057981	0.0995054867946867	0.190634349884685	AA683351	6798	Hs.466917	Splicing factor, arginine/serine-rich 16	SFRS16	SFRS16	Not_significant
-0.353389028776134	-0.353389028776134	-4.42014965665492	0.000441222144008696	0.0995054867946867	0.16315002124789	AA416757	3122	Hs.443831	Programmed cell death 5	PDCD5	PDCD5	Not_significant
-0.401881291798648	-0.401881291798647	-4.41707869490018	0.000444022698771471	0.0995054867946867	0.157446344341153	AA232647	2469	Hs.463569	Vascular endothelial zinc finger 1	VEZF1	VEZF1	Not_significant
-0.408841329630988	-0.408841329630988	-4.37978607261377	0.000479514495154224	0.105697572161372	0.0881098971263219	R85941	12713	Hs.248785	1-acylglycerol-3-phosphate O-acyltransferase 3	AGPAT3	AGPAT3	Not_significant
-0.459972289914041	-0.45997228991404	-4.34971058864152	0.000510236319579412	0.108883019533413	0.0320957171463254	H48472	8775	Hs.508829	CDC42 small effector 2	CDC42SE2	CDC42SE2	Not_significant
-0.469697390021254	-0.469697390021254	-4.34356679874073	0.000516754885118358	0.108883019533413	0.0206428823867073	AA133191	1979	Hs.146602	Ubiquinol-cytochrome c reductase, complex III subunit VII, 9.5kDa	UQCRQ	UQCRQ	Not_significant
-0.48091515401827	-0.48091515401827	-4.34123161073248	0.000519254715429747	0.108883019533413	0.016288878255482	N99243	11360	Hs.531085	T-box 2	TBX2	TBX2	Not_significant
-0.566741780636511	-0.566741780636511	-4.35206093368472	0.000526357003545428	0.108883019533413	0.00908474316550922	AA447768	3966	Hs.352962	Hypothetical protein LOC285086	LOC285086	LOC285086	Not_significant
-0.590773488636797	-0.590773488636797	-4.32360166801218	0.000564858213411692	0.115077023295964	-0.0528513012385474	AA719040	7222	Hs.421095	F-box protein 30	FBXO30	FBXO30	Not_significant
-0.368718708413028	-0.368718708413028	-4.28259832497742	0.000586225945747054	0.11695596121116	-0.0931936829428421	AA464142	4939	Hs.195642	Ring finger protein 213	RNF213	RNF213	Not_significant
-0.536517109513043	-0.536517109513043	-4.28133770269047	0.000604713372751938	0.11695596121116	-0.117065861233323	AA496877	5742	Hs.125898	GNAS complex locus	GNAS	GNAS	Not_significant
-0.463296651281291	-0.46329665128129	-4.25543370690664	0.000620171764514407	0.11695596121116	-0.144017312526371	AA628183	6377	Hs.522255	G kinase anchoring protein 1	GKAP1	GKAP1	Not_significant
-0.413791805192948	-0.413791805192947	-4.24233136969469	0.000637253021881293	0.11695596121116	-0.168553041959726	AA705225	7062	Hs.463300	Myosin, light chain 4, alkali; atrial, embryonic	MYL4	MYL4	Not_significant
-0.552365519804117	-0.552365519804117	-4.25687784325596	0.000640785306738135	0.11695596121116	-0.168247801005379	R85267	12703	Data not found		NA	R85267	Not_significant
-0.719629340661515	-0.719629340661515	-4.26124414272609	0.000646414515227922	0.11695596121116	-0.173513694347565	R11236	11597	Hs.438673	Ankyrin repeat domain 13 family, member D	ANKRD13D	ANKRD13D	Not_significant
0.55613862754307	0.556138627543069	4.2330569814883	0.000649632320027516	0.11695596121116	-0.185928912975828	T90462	13469	Hs.590961	Zinc finger protein 599	ZNF599	ZNF599	Not_significant
-0.596533933903909	-0.596533933903909	-4.2466186276478	0.000666037459690524	0.11695596121116	-0.200520433991484	AI222069	8009	Hs.499000	DnaJ (Hsp40) homolog, subfamily C, member 1	DNAJC1	DNAJC1	Not_significant
-0.512960139174689	-0.512960139174689	-4.22880930995408	0.000669755573440045	0.11695596121116	-0.210215151497003	T64905	13213	Hs.643588	Paired-like homeodomain transcription factor 2	PITX2	PITX2	Not_significant
-0.68880531585144	-0.68880531585144	-4.23755619173378	0.000678499867967908	0.11695596121116	-0.21726407272973	AA676268	6594	Hs.406788	RAB11 family interacting protein 4 (class II)	RAB11FIP4	RAB11FIP4	Not_significant
0.764063440576229	0.764063440576229	4.2197731308877	0.000679591096076446	0.11695596121116	-0.224000186170443	W81576	14200	Hs.655341	T-complex 11 (mouse)-like 1	TCP11L1	TCP11L1	Not_significant
-0.529029323043755	-0.529029323043754	-4.22289185191992	0.000682663875223072	0.11695596121116	-0.226416658229001	AA046700	1581	Hs.403933	F-box protein 32	FBXO32	FBXO32	Not_significant
-0.586188291207822	-0.586188291207822	-4.23028129287979	0.000687157588552852	0.11695596121116	-0.229050894127449	AA055221	1636	Hs.555966	Apoptosis, caspase activation inhibitor	AVEN	AVEN	Not_significant
-0.591805863637165	-0.591805863637165	-4.18616938270664	0.000753794493780541	0.125551879164364	-0.312337748844422	AA465692	5060	Hs.331431	SCC-112 protein	SCC-112	SCC-112	Not_significant
-0.725406712760598	-0.725406712760598	-4.33469861071972	0.000756336621472073	0.125551879164364	-0.281335394137503	AA194043	2390	Hs.654542	Bradykinin receptor B2	BDKRB2	BDKRB2	Not_significant
-0.398994646795521	-0.398994646795521	-4.1490974629537	0.000773442416698046	0.126825691889292	-0.343533605512664	AI222440	8026	Hs.594987	Transcribed locus	NA	AI222440	Not_significant
-0.457113007024385	-0.457113007024385	-4.14233869362218	0.00078594590731149	0.127057415750628	-0.357715620583654	AA857413	7550	Hs.655579	Transcribed locus, strongly similar to XP_001056747.1 similar to 40S ribosomal protein S27-like protein [Rattus norvegicus]	NA	AA857413	Not_significant
-0.511730081039487	-0.511730081039487	-4.14199341700349	0.000805678732241456	0.127057415750628	-0.376317964812407	AA025850	1336	Hs.21213	Myosin VA (heavy chain 12, myoxin)	MYO5A	MYO5A	Not_significant
-0.584485779665407	-0.584485779665407	-4.14762864572686	0.000815803853430225	0.127057415750628	-0.383785572096432	AA160507	2227	Hs.433845	Keratin 6A	KRT6A	KRT6A	Not_significant
-0.596498916496733	-0.596498916496733	-4.14663727642489	0.000817465591398132	0.127057415750628	-0.385624933976628	N32949	9909	Hs.592775	CDNA FLJ39585 fis, clone SKMUS2006633	NA	N32949	Not_significant
