logFC	AveExpr	t	P.Value	adj.P.Val	B	GB_ACC	ID	UG_CLUSTER	DESCRIPTION	GENE_SYMBOL	display_label	deg_class
1.71665404995547	1.6663102212933	10.4088351009106	5.68188916884711e-08	0.000365439589627319	7.22527239765015	AA679414	6722	Hs.181368	PRP8 pre-mRNA processing factor 8 homolog (S. cerevisiae)	PRPF8	PRPF8	Up
-1.4397954623528	-1.39464042534382	-10.3945894564332	5.77994389420669e-08	0.000365439589627319	7.21398547151928	AA448486	4026	Hs.592074	Hypothetical protein LOC348180	LOC348180	LOC348180	Down
1.51613069175285	1.48981256531969	10.1113619861437	8.15349374447386e-08	0.000365439589627319	6.98488573316173	AA919063	7683	Hs.591054	BH3 interacting domain death agonist	BID	BID	Up
1.66069331493494	1.64236713645006	9.276378233807	2.35180533383452e-07	0.000790559362968475	6.25444889672696	AA454651	4341	Hs.654688	Megakaryoblastic leukemia (translocation) 1	MKL1	MKL1	Up
1.17550827134173	1.14442137362512	8.06701958899237	1.24378979845658e-06	0.00334479952600943	5.03385297169761	W37989	13808	Hs.435615	Calcium-sensing receptor (hypocalciuric hypercalcemia 1, severe neonatal hyperparathyroidism)	CASR	CASR	Up
1.19791385830675	1.19784993477139	7.49218733816688	2.91581099530631e-06	0.00653433244048145	4.37812456698717	N23047	9676	Hs.379018	Transcription factor Dp-2 (E2F dimerization partner 2)	TFDP2	TFDP2	Up
-1.36093266352585	-1.37961993937354	-7.04436450556351	6.84537397004534e-06	0.01314898548589	3.69381713290714	R60020	12393	Hs.592074	Hypothetical protein LOC348180	LOC348180	LOC348180	Down
1.27609366579674	1.27514217905639	6.87359066451903	1.14321147181633e-05	0.019214526812553	3.2135916800859	AA490338	5600	Hs.177926	Exonuclease NEF-sp	LOC81691	LOC81691	Up
-0.923183395238529	-0.901613082325588	-6.45959878633184	1.54266073307343e-05	0.0207782944078694	3.04119352786488	AA458932	4646	Hs.91579	IMP4, U3 small nucleolar ribonucleoprotein, homolog (yeast)	IMP4	IMP4	Down
-0.685920675187947	-0.674830444918691	-6.44151450692163	1.54531417580466e-05	0.0207782944078694	3.040355029002	R98008	12924	Hs.146551	BMP2 inducible kinase	BMP2K	BMP2K	Down
1.23797767476636	1.26399484319156	6.2865528604735	2.16797988867543e-05	0.0265005978028454	2.7601135675183	T99653	13607	Hs.567356	Wingless-type MMTV integration site family member 2	WNT2	WNT2	Up
-1.30114216752749	-1.25102055686746	-6.18108619354463	2.72169380104218e-05	0.0304965790406777	2.5714354399704	AA495724	5670	Hs.520814	Tensin 3	TNS3	TNS3	Down
0.997468944363256	1.00450251164435	5.84744024898424	4.2402836866613e-05	0.0417536318628587	2.20006537589109	AA482079	5257	Hs.647086	Replication initiator 1	REPIN1	REPIN1	Up
-0.587470047323996	-0.591137172613626	-5.83311347055299	4.34739585066206e-05	0.0417536318628587	2.17904000957279	AA441935	3780	Hs.643451	Achaete-scute complex homolog 1 (Drosophila)	ASCL1	ASCL1	Down
-0.727222169131207	-0.759979606588459	-5.72171756300876	5.28311672403448e-05	0.0460075471516194	2.01434220346413	H00677	8147	Hs.652165	Centrosomal protein 68kDa	CEP68	CEP68	Down
-1.3915125436132	-1.3970363890021	-5.76674876048879	5.47464490871568e-05	0.0460075471516194	1.9868222052456	AA676649	6611	Data not found		NA	AA676649	Down
0.908653153621992	0.894356944343947	5.44882659530547	8.57866872330853e-05	0.0655984383624119	1.60181763915524	AA035620	1437	Hs.125898	GNAS complex locus	GNAS	GNAS	Not_significant
-0.650505224890041	-0.630298280129709	-5.43580914722532	8.78158478747148e-05	0.0655984383624119	1.58182087173067	AA610016	6135	Hs.112804	Transcribed locus	NA	AA610016	Not_significant
-0.917731378353642	-0.913684592387327	-5.45374085154552	9.42987097726136e-05	0.0667337079790822	1.5253213142299	R77144	12632	Hs.488835	Transmembrane protein induced by tumor necrosis factor alpha	TMPIT	TMPIT	Not_significant
1.05437096106132	1.02790321930097	5.64093753882624	0.000108901390657413	0.073214404938979	1.32259124506369	AA777435	7384	Data not found		NA	AA777435	Not_significant
-0.55378092865483	-0.566506083575568	-5.2718454761558	0.00011811532600264	0.0756275558776907	1.32750045833793	AA706795	7111	Hs.624027	Hypothetical LOC647065	LOC647065	LOC647065	Not_significant
1.41877007186538	1.42101296786271	5.25009082590933	0.000135296011197565	0.0810703976309535	1.21601638817962	H05961	8205	Hs.536009	Transcribed locus	NA	H05961	Not_significant
