NGenes	Direction	PValue	FDR	geneset
77	Down	9.02104570436103e-10	4.68823745255642e-06	GOBP_CYTOPLASMIC_TRANSLATION
75	Down	2.2884882674806e-09	5.72532041877736e-06	GOBP_ELECTRON_TRANSPORT_CHAIN
62	Down	3.3049761894039e-09	5.72532041877736e-06	GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT
33	Down	3.9472442492545e-08	4.83668036906189e-05	GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS
78	Down	4.6533388195708e-08	4.83668036906189e-05	GOBP_OXIDATIVE_PHOSPHORYLATION
42	Down	1.05070430005845e-07	9.10085041233962e-05	GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS
14	Down	3.53661252102183e-07	0.000262568218167864	GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN
49	Down	1.23965900120031e-06	0.000805313478654751	GOBP_ATP_BIOSYNTHETIC_PROCESS
63	Down	2.38587277715803e-06	0.00137770898032114	GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS
9	Down	3.40910883919902e-06	0.00165183923945044	GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY
347	Down	3.49629240599477e-06	0.00165183923945044	GOBP_TRANSLATION
76	Down	5.12176933022907e-06	0.00221815293410004	GOBP_PROTON_TRANSMEMBRANE_TRANSPORT
27	Down	1.13008365344289e-05	0.00429166445321755	GOBP_RIBOSOME_ASSEMBLY
33	Down	1.15611511150752e-05	0.00429166445321755	GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE
17	Down	1.3940747677634e-05	0.00483000437871091	GOBP_PROTEASOMAL_UBIQUITIN_INDEPENDENT_PROTEIN_CATABOLIC_PROCESS
19	Down	2.10231904471245e-05	0.00682859504710662	GOBP_FERROPTOSIS
125	Down	2.45685866605597e-05	0.0075107614632311	GOBP_ATP_METABOLIC_PROCESS
192	Down	3.07646574612948e-05	0.00888244026813052	GOBP_CELLULAR_RESPIRATION
132	Down	4.10305728923744e-05	0.0112229414379826	GOBP_PROTEIN_FOLDING
13	Down	4.54800243453187e-05	0.0118179843261311	GOBP_CD8_POSITIVE_ALPHA_BETA_T_CELL_HOMEOSTASIS
267	Down	7.44952472210072e-05	0.0183390170669712	GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY
8	Down	7.76329373625872e-05	0.0183390170669712	GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_UBIQUINOL_TO_CYTOCHROME_C
21	Down	0.000108888939917169	0.0246041661195446	GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION
15	Down	0.000116844909328926	0.0253017914076012	GOBP_NEGATIVE_REGULATION_OF_REGULATORY_T_CELL_DIFFERENTIATION
69	Down	0.000125840514082538	0.026159726067478	GOBP_RESPONSE_TO_TYPE_I_INTERFERON
83	Down	0.000200928021553133	0.0387488993147769	GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS
6	Down	0.000201312349720796	0.0387488993147769	GOBP_POSITIVE_REGULATION_OF_FERROPTOSIS
123	Down	0.000227893932102282	0.0422987416119843	GOBP_RIBOSOME_BIOGENESIS
68	Down	0.0002566920353747	0.0460009830290453	GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS
151	Down	0.000300654102016857	0.0520833122727203	GOBP_NUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS
82	Down	0.000373611612003444	0.0626341789542549	GOBP_MITOCHONDRIAL_TRANSLATION
121	Down	0.000461505634646873	0.073313809182961	GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS
14	Down	0.000479399914631819	0.073313809182961	GOBP_REGULATION_OF_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY
12	Down	0.00048834559978865	0.073313809182961	GOBP_POSITIVE_REGULATION_OF_ERAD_PATHWAY
100	Down	0.000503060596693227	0.073313809182961	GOBP_NUCLEOTIDE_BIOSYNTHETIC_PROCESS
98	Down	0.000535321521036939	0.073313809182961	GOBP_MITOCHONDRIAL_GENE_EXPRESSION
196	Down	0.000538095963124661	0.073313809182961	GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS
27	Down	0.000549975000922195	0.073313809182961	GOBP_CALCINEURIN_MEDIATED_SIGNALING
28	Down	0.000550170975204056	0.073313809182961	GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION
9	Down	0.000639217060506647	0.0830502765863261	GOBP_AUTOPHAGIC_CELL_DEATH
30	Down	0.000765172269188698	0.0965099924517132	GOBP_INTRACELLULAR_PH_REDUCTION
20	Down	0.000779953758509131	0.0965099924517132	GOBP_CD8_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION
12	Down	0.000831225229438357	0.100462267846306	GOBP_NEGATIVE_REGULATION_OF_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY
69	Down	0.000879885516255576	0.103926477908642	GOBP_POSITIVE_REGULATION_OF_TRANSLATION
187	Down	0.000997404752933219	0.1142299497376	GOBP_RIBOSE_PHOSPHATE_METABOLIC_PROCESS
18	Down	0.0010110790240388	0.1142299497376	GOBP_MRNA_MODIFICATION
36	Down	0.00108196937387218	0.119638188000292	GOBP_CIRCADIAN_REGULATION_OF_GENE_EXPRESSION
39	Down	0.00111246174650355	0.120447160345394	GOBP_NEGATIVE_REGULATION_OF_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY
38	Down	0.00119045595920999	0.126261216734986	GOBP_ORGANELLE_DISASSEMBLY
35	Down	0.00122974115932276	0.127819296100007	GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY
66	Down	0.00126595921992473	0.12900372678331	GOBP_ERAD_PATHWAY
247	Down	0.00130106477490256	0.130031416060935	GOBP_REGULATION_OF_PROTEOLYSIS
11	Down	0.00139636204855266	0.13358080132399	GOBP_TELOMERASE_RNA_LOCALIZATION
22	Down	0.00139744615142193	0.13358080132399	GOBP_CD8_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION
