geneset	NGenes	Direction	PValue	FDR	source
HALLMARK_OXIDATIVE_PHOSPHORYLATION	149	Down	3.60367613470208e-08	1.80183806735104e-06	Hallmark
HALLMARK_MYC_TARGETS_V1	131	Down	1.47267820840382e-05	0.000368169552100956	Hallmark
HALLMARK_MTORC1_SIGNALING	137	Down	0.0101990425985949	0.14641398114305	Hallmark
HALLMARK_MYOGENESIS	127	Down	0.0145894877674457	0.14641398114305	Hallmark
HALLMARK_INTERFERON_GAMMA_RESPONSE	111	Down	0.0172775435959766	0.14641398114305	Hallmark
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	29	Down	0.017569677737166	0.14641398114305	Hallmark
HALLMARK_ADIPOGENESIS	152	Down	0.0214336315265716	0.15309736804694	Hallmark
HALLMARK_DNA_REPAIR	91	Down	0.03354993301415	0.209687081338437	Hallmark
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	69	Down	0.0378644321454231	0.210357956363462	Hallmark
HALLMARK_UV_RESPONSE_UP	97	Down	0.0522476100676357	0.229403175643325	Hallmark
REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL	86	Down	1.67180035941529e-13	1.42564072838309e-10	Reactome
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	46	Down	2.31942559053655e-13	1.42564072838309e-10	Reactome
REACTOME_SELENOAMINO_ACID_METABOLISM	44	Down	2.9475687009988e-13	1.42564072838309e-10	Reactome
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	46	Down	4.95853211038865e-13	1.79870752304348e-10	Reactome
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	85	Down	1.18069241516396e-12	3.4263693888058e-10	Reactome
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	59	Down	2.51037334689469e-12	5.51585101231238e-10	Reactome
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	39	Down	2.66098946148771e-12	5.51585101231238e-10	Reactome
REACTOME_NONSENSE_MEDIATED_DECAY_NMD	52	Down	2.09285650118598e-11	3.79591847902606e-09	Reactome
REACTOME_CELLULAR_RESPONSE_TO_STARVATION	68	Down	3.96724597362078e-11	6.39608211969306e-09	Reactome
REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	22	Down	7.947594338476e-11	1.15319593851287e-08	Reactome
KEGG_RIBOSOME	35	Down	2.68800326483976e-14	4.75776577876638e-12	KEGG_legacy
KEGG_PARKINSONS_DISEASE	76	Down	2.71518105351373e-11	2.40293523235965e-09	KEGG_legacy
KEGG_OXIDATIVE_PHOSPHORYLATION	72	Down	2.44608075921959e-10	1.44318764793956e-08	KEGG_legacy
KEGG_HUNTINGTONS_DISEASE	114	Down	3.03217309544546e-09	1.34173659473462e-07	KEGG_legacy
KEGG_ALZHEIMERS_DISEASE	106	Down	1.5712884032919e-05	0.000556236094765334	KEGG_legacy
KEGG_PROTEASOME	42	Down	1.93256003228893e-05	0.000570105209525236	KEGG_legacy
KEGG_CARDIAC_MUSCLE_CONTRACTION	44	Down	0.00053838598730795	0.013613474250501	KEGG_legacy
KEGG_PENTOSE_PHOSPHATE_PATHWAY	17	Down	0.000619922916177438	0.0137157945204258	KEGG_legacy
KEGG_SPLICEOSOME	71	Down	0.00608629048588207	0.108546630126015	KEGG_legacy
KEGG_BASE_EXCISION_REPAIR	19	Down	0.00613257797322116	0.108546630126015	KEGG_legacy
GOBP_CYTOPLASMIC_TRANSLATION	77	Down	9.02104570436103e-10	4.68823745255642e-06	GO_BP
GOBP_ELECTRON_TRANSPORT_CHAIN	75	Down	2.2884882674806e-09	5.72532041877736e-06	GO_BP
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	62	Down	3.3049761894039e-09	5.72532041877736e-06	GO_BP
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS	33	Down	3.9472442492545e-08	4.83668036906189e-05	GO_BP
GOBP_OXIDATIVE_PHOSPHORYLATION	78	Down	4.6533388195708e-08	4.83668036906189e-05	GO_BP
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	42	Down	1.05070430005845e-07	9.10085041233962e-05	GO_BP
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN	14	Down	3.53661252102183e-07	0.000262568218167864	GO_BP
GOBP_ATP_BIOSYNTHETIC_PROCESS	49	Down	1.23965900120031e-06	0.000805313478654751	GO_BP
GOBP_NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS	63	Down	2.38587277715803e-06	0.00137770898032114	GO_BP
GOBP_RIBOSOMAL_SMALL_SUBUNIT_ASSEMBLY	9	Down	3.40910883919902e-06	0.00165183923945044	GO_BP
