ID	UG_CLUSTER	DESCRIPTION	DESCRIPTION_SUMMARY	GENE_SYMBOL	GB_ACC	SPOT_ID
1001	Hs.440382	Tripartite motif-containing 27	"The protein encoded by this gene is a member of the tripartite motif (TRIM) family. The TRIM motif includes three zinc-binding domains, a RING, a B-box type 1 and a B-box type 2, and a coiled-coil region. This protein localizes to the nuclear matrix. It interacts with the enhancer of polycomb protein and represses gene transcription. It is also thought to be involved in the differentiation of male germ cells. Rearrangements of this gene and the RET gene result in a gene encoding the ret transforming protein. Two alternatively spliced transcript variants for this gene have been described."	TRIM27	AA677408	
1002	Hs.467408	Tripartite motif-containing 28	"The protein encoded by this gene mediates transcriptional control by interaction with the Kruppel-associated box repression domain found in many transcription factors. The protein localizes to the nucleus and is thought to associate with specific chromatin regions. The protein is a member of the tripartite motif family. This tripartite motif includes three zinc-binding domains, a RING, a B-box type 1 and a B-box type 2, and a coiled-coil region."	TRIM28	AA663435	
1003	Hs.54941	"Phosphorylase kinase, alpha 2 (liver)"		PHKA2	AA677340	
1004	Hs.664082	Transcribed locus		NA	AA620293	
1005	Data not found			NA	AA598877	
1006	Hs.662839	Transcribed locus		NA	AA482037	
1007	Hs.600681	"Zinc finger, MIZ-type containing 2"		ZMIZ2	AA625583	
1008	Hs.648555	Transcribed locus		NA	AA664004	
1009	Hs.224616	"ER degradation enhancer, mannosidase alpha-like 1"		EDEM1	AA630346	
1010	Hs.585464	Coiled-coil domain containing 7		CCDC7	AA609088	
1011	Data not found			NA	AA676354	
1012	Hs.172550	Polypyrimidine tract binding protein 1	"This gene belongs to the subfamily of ubiquitously expressed heterogeneous nuclear ribonucleoproteins (hnRNPs). The hnRNPs are RNA-binding proteins and they complex with heterogeneous nuclear RNA (hnRNA). These proteins are associated with pre-mRNAs in the nucleus and appear to influence pre-mRNA processing and other aspects of mRNA metabolism and transport. While all of the hnRNPs are present in the nucleus, some seem to shuttle between the nucleus and the cytoplasm. The hnRNP proteins have distinct nucleic acid binding properties. The protein encoded by this gene has four repeats of quasi-RNA recognition motif (RRM) domains that bind RNAs. This protein binds to the intronic polypyrimidine tracts that requires pre-mRNA splicing and acts via the protein degradation ubiquitin-proteasome pathway. It may also promote the binding of U2 snRNP to pre-mRNAs. This protein is localized in the nucleoplasm and it is also detected in the perinucleolar structure. Alternatively spliced transcript variants encoding different isoforms have been described."	PTBP1	AA677517	
1013	Hs.515259	Single stranded DNA binding protein 4		SSBP4	AA496349	
1014	Hs.664160	Transcribed locus		NA	AA626726	
1015	Hs.647011	MutS homolog 5 (E. coli)	"This gene encodes a member of the mutS family of proteins that are involved in DNA mismatch repair or meiotic recombination processes. This protein is similar to a Saccharomyces cerevisiae protein that participates in meiotic segregation fidelity and crossing-over. This protein forms heterooligomers with another member of this family, mutS homolog 4. Alternative splicing results in four transcript variants encoding three different isoforms."	MSH5	AA621155	
1016	Hs.632015	Argininosuccinate lyase	"Argininosuccinate lyase (EC 4.3.2.1) is a urea cycle enzyme that catalyzes the cleavage of argininosuccinate to fumarate and arginine, an essential step in the process of detoxification of ammonia via the urea cycle.[supplied by OMIM]"	ASL	AA486741	
1017	Hs.34871	Zinc finger E-box binding homeobox 2	"The SMADIP1 gene (also known as SIP1) is a member of the delta-EF1 (TCF8; MIM 189909)/Zfh1 family of 2-handed zinc finger/homeodomain proteins. SMADIP1 interacts with receptor-mediated, activated full-length SMADs (see MIM 605568).[supplied by OMIM]"	ZEB2	AA490605	
1018	Hs.649138	Transcribed locus		NA	AA677289	
1019	Hs.59889	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 (mitochondrial)		HMGCS2	AA496149	
1020	Hs.534360	Thyroid hormone receptor interactor 6		TRIP6	AA485677	
1021	Hs.663031	MRNA; cDNA DKFZp667L198 (from clone DKFZp667L198)		NA	AA496133	
1022	Hs.503093	"Zinc finger protein 36, C3H type-like 2"	This gene is a member of the TIS11 family of early response genes. Family members are induced by various agonists such as the phorbol ester TPA and the polypeptide mitogen EGF. The encoded protein contains a distinguishing putative zinc finger domain with a repeating cys-his motif. This putative nuclear transcription factor most likely functions in regulating the response to growth factors.	ZFP36L2	AA480880	
1023	Hs.585396	Thyroid hormone receptor associated protein 3		THRAP3	AA010192	
1024	Hs.71040	"Adaptor-related protein complex 1, mu 1 subunit"	"The protein encoded by this gene is the medium chain of the trans-Golgi network clathrin-associated protein complex AP-1. The other components of this complex are beta-prime-adaptin, gamma-adaptin, and the small chain AP1S1. This complex is located at the Golgi vesicle and links clathrin to receptors in coated vesicles. These vesicles are involved in endocytosis and Golgi processing."	AP1M1	AA644232	
1025	Hs.644646	Transcribed locus		NA	AA608707	
1026	Hs.599835	Transcribed locus		NA	AA460005	
1027	Hs.658816	SHQ1 homolog (S. cerevisiae)		SHQ1	AA010868	
1028	Data not found			NA	AA677361	
